Tweet Id,Event,ON,NOT
1.42812E+18,"With #CriticalFireWeather and #RedFlagWarnings being experienced across California, it is crucial that you do your part to limit the sparks that start wildfires. Watch the video and visit  to learn more. ",0,1
1.42811E+18,Assisting/Not a CAL FIRE incident: #CacheFire off Dam Rd and Wilkinson Ave in Lake County. Lead agency: Lake County Fire Protection District. For more information:,0,1
1.42741E+18,"Assisting/Not a CAL FIRE Incident: #WalkersFire started off North of Alpine Creek, northeast of Springville in Tulare County. Lead agency: @sequoiaforest 
 ",0,1
1.42693E+18,"Assisting/not a CA FIRE incident: #CaldorFire near Little Mountain, south of Pollock Pines in El Dorado County.


 ",0,1
1.42658E+18,"10,382 firefighters/personnel continue to make progress on the 10 large wildfires that are currently burning in CA. In total the wildfires this year have burned over 1 million acres. 

Help firefighters. Learn ways to prevent, and prepare for, a wildfire:  ",0,1
1.42621E+18,"You never know when you'll need to evacuate so it's vital that you take steps to ensure, no matter the time, you're ready to go. Simply keeping shoes by your bed will allow you to quickly put them on if you need to evacuate your home.  #WildfireReady ",0,1
1.42592E+18,In 1999 Andrea Tuttle was appointed the first female Director of the California Department of Forestry and Fire Protection. Director Tuttle joined the department with 25 years of experience in environmental planning and forestry policy. #TBT #ThrowbackThursday,0,1
1.42522E+18,Engines are an incredibly important resource that carries the firefighting tools necessary to slow and stop the spread of dangerous #wildfires!,0,1
1.42486E+18,"Happy 77th Birthday, Smokey! Looking forward to many more years of #WildfirePrevention. ",0,1
1.42459E+18,"Assisting/ not a CAL FIRE incident: #MonumentFire off of Panther Creek and Eagle Rock, west of Big Bar in Trinity County. @ShastaTrinityNF

 ",0,1
1.42442E+18,Communication is especially important during an emergency. Make sure to keep your phone charged at all times! Learn more tips at:  #WildfireReady,0,1
1.42405E+18,"If you are anticipating an evacuation in your area, keep your car keys with you so that you can quickly locate them. Learn more tips at  #WildfireReady ",0,1
1.42401E+18,"Assisting/ not a CAL FIRE incident: #HamboneFire off Lave Spur and Hambone Island, northeast of McCloud in Siskiyou County. @ShastaTrinityNF 

 ",0,1
1.42372E+18,CAL FIRE Law Enforcement Officers have made 88 Arson related arrests to-date in 2021. Preventing fires is a vital part of CAL FIRE's mission. Call the Arson Hotline at 800-468-4408 with information about suspicious fires. You can remain anonymous. #ArsonPrevention,0,1
1.42369E+18,"Complete this Self-Assessment, to have a greater understanding of how Defensible Space and Home Hardening can help save your home from the effects of devastating wildfires. Click here to take the assessment  ",0,1
1.4234E+18,"Compared to this same time last year, we have seen an astounding 151% increase in acres burned across California and it is only August! Now is the time prepare you and your family by having your go bag ready. Learn what by visiting  ",0,1
1.4227E+18,"Assisting/Not a CAL FIRE Incident: #AntonioFire near Glendora Ridge Rd and Sunset Peak, west of Mt. Baldy in Los Angeles County. Admin unit: @Angeles_NF 

 ",0,1
1.42229E+18,"Assisting/Not a CAL FIRE Incident: #RiverComplexFire near Scott Salmon Ranger District, west of Callahan in Siskiyou County. Admin Unit: @Klamath_NF 

 ",0,1
1.42225E+18,"As part of your pre-evacuation planning, put your emergency supply kit in your vehicle. This ensures that, if the time comes, you can leave quickly with your essential items.  #WildfireReady ",0,1
1.42202E+18,"Assisting/Not a CAL FIRE Incident: #AntelopeFire near Antelope Creek and Forest Road 41N28, south of Tennant in Siskiyou County. Admin unit: @Klamath_NF 

 ",0,1
1.42186E+18,"To ensure a speedy evacuation, be prepared by backing your vehicle into the driveway and having it already packed with your emergency supply kit. If you need to evacuate, you will be able to leave quickly!  #WildfireReady ",0,1
1.42163E+18,"Assisting/Not a CAL FIRE Incident: #HungryFire off of Quail Canyon Road and Goldhill Road, South of Frazer Park in Los Angeles County. Lead Agency: @LACoFDPIO 

 ",0,1
1.4215E+18,You never know when you will need to evacuate so when that time comes you want to be sure your vehicle is ready! Keeping your gas tank at least half full in your vehicles is vital to getting you quickly out of an unsafe area.  #WildfireReady,0,1
1.42148E+18,"Assisting/Not a CAL FIRE Incident: #PantherFire off of Panther Creek and Eagle Rock, West of Big Bar in Trinity County. Lead Agency: 
@ShastaTrinityNF
 
 ",0,1
1.42116E+18,"Assisting/Not a CAL FIRE Incident: #McFarlandFire near McFarland Ridge and Baker Flat, West of Platina in Shasta County. Lead Agency: @ShastaTrinityNF 

 ",0,1
1.42112E+18,"Assisting/Not a CAL FIRE Incident: #EvansFire off of Evans Peak and Cooks Creek, Northeast of Greenville in Plumas County. Lead Agency: @USFSPlumas
 
For more information:  ",0,1
1.42044E+18,"As part of your pre-evacuation planning, move any flammable furniture away from the windows or doors to help limit the potential destruction of a wildfire to your home. Learn more:  #WildfireReady ",0,1
1.41933E+18,"When an evacuation is anticipated but you do NOT need to leave immediately, you should remove flammable window coverings and curtains to give your home the best chance of surviving a wildfire.  #WildfireReady ",0,1
1.41896E+18,"If you think you'll need to evacuate but it's NOT urgent that you go now, steps can be followed to give your home a greater chance of wildfire survival. For example, shutting all windows and doors will make it harder for destructive embers to enter your home. #WildfireReady ",0,1
1.41842E+18,"Assisting/Not a CAL FIRE Incident: #FlyFire off Hwy 70 and Butterfly Valley-Twain Rd, north of Quincy in Plumas County is 75 acres. Lead Agency: @USFSPlumas 

For more information:  ",0,1
1.41832E+18,"CAL FIRE usually constructs fire lines in one of two ways: with fire crews using hand tools, or by #bulldozer. Bulldozers construct line by removing flammable material down to bare soil. This makes them another valuable resource for California’s emergency response capabilities. ",0,1
1.41832E+18,"Jay Stevens, for 53 years, dedicated his life to saving lives &amp; property from the ravages of fire. He was the first CA State Fire Marshal, appointed in 1927, and established OSFM in its formative years &amp; assisted in state, national &amp; international fire service associations. #TBT ",0,1
1.41797E+18,You’ve taken steps to keep your family and home fire safe. Don’t forget your livestock. With some advance planning you can increase their chances of surviving a wildland fire by preparing for their evacuation. Learn how at:  #WildfireReady,0,1
1.4176E+18,"Assisting/Not a CAL FIRE Incident: #PeakFire off of Walker Basin Road and Piute Mountain Road, South of Lake Isabella in Kern County. Lead Agency: @BLMFire and For More Information: @kerncountyfire ",0,1
1.41719E+18,"Hot weather &amp; dry conditions continue to drive an increase in wildfire activity spanning across CA! Compared to this same time last year, there has been more than 900 wildfires &amp; over 165,000 more acres burned. It's now more critical than ever that all Californians are prepared ",0,1
1.4169E+18,"Assisting/Not a CAL FIRE Incident: #ChickenFire off of Juniper Tree Road and Juniper Ridge Road, East of Termo in Lassen County. Lead Agency: @BLMca ",0,1
1.4168E+18,"As part of your pre-evacuation planning, make sure you know where your pets are and keep them nearby. When it comes time to evacuate, you will be able to get the whole family, including the four legged family members, out quickly.  #WildfireReady ",0,1
1.41644E+18,Keep an emergency supply kit ready to go and easily accessible. This will ensure that you are #WildfireReady and can evacuate quickly! Learn more evacuation tips at,0,1
1.41623E+18,"Assisting/ not a CAL FIRE incident: #TamarackFire near Pleasant Valley, Southwest of Markleeville  in Alpine County is 1600 acres. Lead agency: @HumboldtToiyabe 

  ",0,1
1.41616E+18,"Hot, dry weather means a greater potential for wildfires this weekend! Putting together your emergency supply kit long before you have to evacuate and keeping it easily accessible, will ensure you and your family are #WildfireReady! Learn more:  ",0,1
1.41551E+18,"Assisting/Not a CAL FIRE incident: #HenryFire off East of Lake Alpine, Carson-Iceberg Wilderness in Alpine County. Lead agency: @Stanislaus_NF 
 ",0,1
1.41546E+18,"Yesterday aircraft assigned to the #DixieFire were forced to land due to a unauthorized drone flying over the fire traffic area. Drones restrict firefighters' ability to protect lives, property and natural resources. Remember if you fly, we can’t! #IfYouFlyWeCant. ",0,1
1.41539E+18,"Now is a great time to get #EvacuationReady by assembling or updating your emergency supply kits, keeping an extra one in your vehicle. This ensures that, if the time comes, you can leave quickly with your essential items.  ",0,1
1.4147E+18,"Hot, dry conditions continue to drive an increase in wildfire activity across CA! Compared to this same time last year, there has been more than 700 wildfires &amp; over 103,000 more acres burned. It's now more critical than ever that all Californians are prepared for wildfires. ",0,1
1.41469E+18,"Assisting/Not a CAL FIRE incident: #DexterFire off Wickie Up Rd and Pilot Springs Rd, northeast of Mammoth Lakes in Mono County. Lead agency: @Inyo_NF ",0,1
1.41437E+18,"Assisting/ Not a Cal Fire Incident: #BradleyFire off Highway 89 and Harris Spring Road, east of McCloud in Siskiyou County. Lead Agency: 
@ShastaTrinityNF 
 ",0,1
1.41396E+18,"Assisting/ Not a Cal Fire Incident: #RoadFire off Japatul Valley Road and I-8 in San Diego County. Lead Agency: @ClevelandNF 

 ",0,1
1.41389E+18,"If you plan on spending time near the water this weekend, take proper precautions! Remember that life jackets should be worn by children, inexperienced swimmers, and all boaters. Life jackets can make all the difference in a water emergency! Learn more:  ",0,1
1.41367E+18,"Assisting/ Not a Cal Fire Incident: #CoyoteFire  off Highway 139 and Dead Horse Canyon, southeast of Tulelake in Modoc County. Lead Agency: @ModocNF 

 ",0,1
1.41363E+18,"The S70i #CALFIREHAWK helicopters primary mission is responding to initial attack wildfires and rescue missions. When responding to wildfires, the helicopter can quickly deliver a Helitack Crew for ground firefighting operations and external hoists allow for rescue missions. ",0,1
1.41357E+18,"Record high temperatures can lead to emergency situations. By following a few important steps, you can keep yourself, your loved ones, neighbors, and pets comfortable and safe during a heat wave.  ",0,1
1.41356E+18,The hot weather means more fun out in the water but you shouldn’t let a day of fun make you less cautious! Closely supervise children and never swim alone. #WaterSafety Learn more:,0,1
1.41327E+18,"The Caspar Woods Schoolhouse was in operation between 1915-1955 for the children of Caspar Lumber Company employees. The school was built at Camp One and now sits at its final destination, Camp 20, the halfway point between Willits and Fort Bragg. #ThrowbackThursday ",0,1
1.41321E+18,A Family Communication Plan should designate one out-of-area friend or relative as a point of contact to act as the single source of communication among family members in case of separation. Learn more ways you can be #EvacuationReady at,0,1
1.41281E+18,CAL FIRE Law Enforcement Officers have made 71 Arson related arrests to-date in 2021. Preventing fires is a vital part of CAL FIRE's mission. Call the Arson Hotline at 800-468-4408 with information about suspicious fires. You can remain anonymous. #ArsonPrevention,0,1
1.4125E+18,"Hot &amp; dry conditions continue to drive an increase in wildfire activity spanning across CA! Compared to this same time last year, there has been more than 750 wildfires &amp; over 42,000 acres burned. It's now more critical than ever that all Californians are prepared for wildfires. ",0,1
1.41244E+18,You’ve taken steps to keep your family and home fire safe. Don’t forget your livestock. With some advance planning you can increase their chances of surviving a wildfire. Learn how to make your livestock #EvacuationReady at,0,1
1.41219E+18,"Assisting/Not a CAL FIRE Incident: #JuniperFire off South Mountain Reservoir and South Mountain Spur, west of Goose Lake in Modoc county. Lead agency: @ModocNF 
 ",0,1
1.41172E+18,Have a happy and safe #4thOfJuly from CAL FIRE! #July4th,0,1
1.41135E+18,"Think of everyone in your household this #4thOfJuly and plan for your pets! Consider putting your pets in a safe, escape-proof room or crate during fireworks to help keep them calm and comfortable. Learn more pet safety tips at  ",0,1
1.41111E+18,"CAL FIRE OSFM licenses over 1,200 professional fireworks operators each year. Attending a public fireworks show is 1 of the safest ways to enjoy the #4thofJuly. Check your local area for professional shows &amp; do not risk your safety by using illegal &amp; dangerous fireworks! ",0,1
1.41107E+18,"This #4thOfJuly, if you plan on using legal “Safe &amp; Sane” fireworks in permitted areas you can make decisions that will keep you, your family, &amp; your community safe. Be aware of your surroundings, read the instructions, &amp; exercise caution because your choices not only affect you. ",0,1
1.41077E+18,Did you know that 180 people a day in the US end up in the ER for injuries from fireworks around July 4th? Even legal “Safe &amp; Sane” fireworks can cause injury if not handled properly so if you are still planning on using these fireworks this #4thOfJuly take safety precautions!,0,1
1.41063E+18,"CAL FIRE, @LACoFD, local fire departments, and law enforcement agencies are partnering together to caution residents of the potential dangers of fireworks and illegal explosives this #FourthofJuly holiday and to promote fireworks safety.  ",0,1
1.41045E+18,"Assisting/Not a CAL FIRE incident: #R_1Fire off Spanish Springs Peak, southeast of Ravendale in Lassen County. Lead agency: @BLMca 

 ",0,1
1.4104E+18,"Assisting/Not a CAL FIRE incident: #DottaFire off Dotta Canyon and Dotta Duck Pond, North of Beckwourth in Plumas County. Lead agency: @USFSPlumas
  ",0,1
1.41036E+18,"Assisting/Not a CAL FIRE incident: #SaltFire off Gilman Rd and Coal Creek Rd, north of Shasta Lake City in Shasta County. Lead agency: @ShastaTrinityNF 
 ",0,1
1.41032E+18,"#4thOfJuly is almost here! Don’t let a night of celebrating lead to a preventable disaster. Do your part to keep you, your family, and your community safe! Learn more by watching the video and visiting  ",0,1
1.41027E+18,Don’t forget this #4thOfJuly that even legal “Safe and Sane” fireworks can be dangerous if mishandled. Prevent a disaster this #July4th by always supervising children when fireworks are present. Learn more safety tips at,0,1
1.41026E+18,"Assisting/Not a CAL FIRE Incident: #BlueFire off of Big Creek Road and Soaproot Saddle Road, South of Shaver Lake in Fresno County. Lead Agency: @Sierra_NF 

For More Information:  ",0,1
1.40995E+18,"California’s wildfire &amp; climate resilience goals require a multisolution approach. State leaders visited Dave Daley, a cattle rancher, to learn how localized strategies can work together to build #ClimateResilience &amp; reduce wildfire risk. ",0,1
1.4099E+18,"Are you celebrating the #4thOfJuly with “SafeAndSane” fireworks? Even in permitted areas, if these approved fireworks are mishandled they can still potentially spark a wildfire! Stay prepared by keeping a hose and bucket of water nearby. Learn more tips at  ",0,1
1.4097E+18,"Assisting/Not a CAL FIRE Incident: #TennantFire off of Tennant Road and Pengrass Road, South of Mount Hebron in Siskiyou County. Lead Agency: @Klamath_NF and For More Information  ",0,1
1.40962E+18,"Assisting/Not a CAL FIRE Incident: #PeakFire off of Old Waterman Canyon Road and Highway 18, North of Waterman Canyon in San Bernardino County. Lead Agency and For More Information: @SanBernardinoNF ",0,1
1.40953E+18,If you plan on using “Safe and Sane” fireworks in permitted areas this #4thOfJuly make sure you are aware of your surroundings. Never use them near dry grass or other flammable materials!,0,1
1.40933E+18,"Assisting/ not a Cal Fire incident: #SkyFire off Philbrook Rd., West of Belden in Butte County. Lead Agency: @LassenNF 

 ",0,1
1.40918E+18,If you're purchasing fireworks for #4thOfJuly remember to check your local laws to find out if they're illegal where you live or if certain State Fire Marshal approved fireworks are permitted. That “Safe &amp; Sane” seal means it's State Fire Marshal approved!,0,1
1.40892E+18,"Assisting/ Not a CAL FIRE incident: #LavaFire near Hotlum Rd and Lumm Rd, northeast of Weed in Siskiyou County. Lead agency: @ShastaTrinityNF 

 ",0,1
1.40882E+18,"Being prepared for a wildfire emergency should always include a plan for your pets, large and small! It’s never to early to plan ahead and be #EvacuationReady. Learn more pet preparedness tips at  ",0,1
1.40849E+18,Do you know several evacuation routes in case of a wildfire emergency? Knowing more than one way out of your community can make all the difference when disaster strikes. Learn more ways to be #EvacuationReady at,0,1
1.40774E+18,Learning how to care for our forests for the people of CA is why the CAL FIRE Demonstration State Forests exist. These forests represent the most common forest types in CA and serve as a living laboratory for how to care for forestlands.   #forestmanagement,0,1
1.40749E+18,"Assisting/Not a CAL FIRE incident: #AntelopeFire near Antelope Reservoir, miles northeast of Canby in Modoc County. Lead Agency: @ModocNF For more information:
 ",0,1
1.40739E+18,Being able to act quickly during a wildfire emergency is critical! Practicing several different escape routes from your home will ensure that when the time comes you and you family will be #EvacuationReady. Learn more preparedness tips at,0,1
1.40712E+18,"Assisting/Not a CAL FIRE incident: #WattFire off Watt Ave at PFE Rd, north of Sacramento in Placer County. 
 ",0,1
1.40702E+18,Ensure you and your family are #EvacuationReady if there is a wildfire near your home by designating an emergency meeting location outside the fire or hazard area. This is critical to determine who has safely evacuated from the affected area.,0,1
1.43478E+18,"Tsunami Info Stmt: M4.2 035mi NW Yakutat, Alaska 2311AKDT Sep 5: Tsunami NOT expected

 #NTWC",0,1
1.43433E+18,"Tsunami Info Stmt: M4.2 030mi NW Yakutat, Alaska 1727AKDT Sep 4: Tsunami NOT expected

 #NTWC",0,1
1.43274E+18,"Tsunami Info Stmt: M4.2 035mi SE Monterey, California 0910PDT Aug 31: Tsunami NOT expected

 #NTWC",0,1
1.43254E+18,"Tsunami Info Stmt: M6.5 Kermadec Islands Region          1953PDT Aug 30: Tsunami NOT expected; CA,OR,WA,BC,and AK

 #NTWC",0,1
1.42956E+18,"Tsunami Info Stmt: M7.2 South Sandwich Islands Region    1733EDT Aug 22: Tsunami NOT expected; U.S. Atlantic or Gulf Coast

 #NTWC",0,1
1.42925E+18,"Tsunami Info Stmt: M7.1 South Sandwich Islands Region    2045EDT Aug 21: Tsunami NOT expected; U.S. Atlantic or Gulf Coast

 #NTWC",0,1
1.42794E+18,"Tsunami Info Stmt: M7.1 Vanuatu Islands                  0310PDT Aug 18: Tsunami NOT expected; CA,OR,WA,BC,and AK

 #NTWC",0,1
1.42723E+18,"Tsunami Info Stmt: M7.1 South Sandwich Islands Region    0711EDT Aug 16: Tsunami NOT expected; U.S. Atlantic or Gulf Coast

 #NTWC",0,1
1.42652E+18,"Tsunami Info Stmt: M7.0 Haiti Region                     0829EDT Aug 14: Tsunami NOT expected; U.S. Atlantic or Gulf Coast

 #NTWC",0,1
1.42652E+18,"Tsunami Info Stmt: M7.0 065mi SE Chignik, Alaska 0358AKDT Aug 14: Tsunami NOT expected; CA,OR,WA,BC,and AK

 #NTWC",0,1
1.42649E+18,"Tsunami Info Stmt: M4.0 055mi NE Iliamna, Alaska 0235AKDT Aug 14: Tsunami NOT expected

 #NTWC",0,1
1.42589E+18,"Tsunami Info Stmt: M7.6 South Sandwich Islands Region    1433EDT Aug 12: Tsunami NOT expected; U.S. Atlantic or Gulf Coast

 #NTWC",0,1
1.42552E+18,"Tsunami Info Stmt: M7.2 Mindanao, Philippine Islands     1046PDT Aug 11: Tsunami NOT expected; CA,OR,WA,BC,and AK

 #NTWC",0,1
1.42467E+18,"Tsunami Info Stmt: M5.0 130mi W  Attu I., Alaska 0142AKDT Aug 9: Tsunami NOT expected

 #NTWC",0,1
1.42438E+18,"Tsunami Info Stmt: M5.1 065mi S  Buldir I., Alaska 0650AKDT Aug 8: Tsunami NOT expected

 #NTWC",0,1
1.42286E+18,"Tsunami Info Stmt: M4.9 Veracruz, Mexico                 0558EDT Aug 4: Tsunami NOT expected

 #NTWC",0,1
1.42123E+18,"Tsunami Info Stmt: M4.8 150mi SE Chignik, Alaska 1412AKDT Jul 30: Tsunami NOT expected

 #NTWC",0,1
1.42078E+18,"Tsunami Info Stmt: M5.0 090mi SE Chignik, Alaska 0809AKDT Jul 29: Tsunami NOT expected

 #NTWC",0,1
1.42068E+18,"US West Coast residents: there will be no further alerts issued for this event.  No significant tsunami is expected.  Once again, California, Oregon, Washington, British Columbia, Alaska - all clear.
Strong &amp; unusual currents may continue for the next several hours.
-tsunami.gov",0,1
1.42068E+18,"All #Tsunami alerts for the #Alaska coastline have been cancelled. 

Remember, strong and unusual currents may continue for several hours.  If you have damage, please report it to your local officials.  

Stay safe, get some rest, and we'll keep the watch for you.  Good night. ",0,1
1.42068E+18,Thu Jul 29 09:31:40 UTC 2021  event picture,0,1
1.42068E+18,"CANCELLATION:  M8.2 075mi SE Chignik, Alaska 2216AKDT Jul 28: Check with local officials for all clear

 #NTWC",0,1
1.42067E+18,Thu Jul 29 09:01:47 UTC 2021  event picture,0,1
1.42066E+18,Thu Jul 29 08:33:02 UTC 2021  event picture,0,1
1.42066E+18,"If you have damage to report, please contact your local emergency manager or relay to your local National Weather Service office.
Remember, strong currents may remain a danger for several hours after unusual waves appear to settle.",0,1
1.42066E+18,"Message #4 is the most recent information.  
Meanwhile, remember that the DART buoy page from NDBC is a handy tool, but DOES NOT show wave amplitudes that translate into useable forecast tools to estimate if a tsunami is occurring or if it will threaten your coastline.",0,1
1.42066E+18,Thu Jul 29 08:01:52 UTC 2021  event picture,0,1
1.42065E+18,Hawai'i has cancelled their Tsunami Watch.  All other Warnings and Advisories continue until further notice.,0,1
1.42065E+18,Thu Jul 29 07:42:22 UTC 2021  event picture,0,1
1.42065E+18,Thu Jul 29 07:33:22 UTC 2021  event picture,0,1
1.42064E+18,Thu Jul 29 07:03:47 UTC 2021  event picture,0,1
1.42063E+18,Thu Jul 29 06:23:22 UTC 2021  event picture,0,1
1.41963E+18,"Tsunami Info Stmt: M6.6 Minahassa Peninsula, Sulawesi    0509PDT Jul 26: Tsunami NOT expected; CA,OR,WA,BC,and AK

 #NTWC",0,1
1.41868E+18,"Tsunami Info Stmt: M6.8 Mindoro, Philippine Islands      1349PDT Jul 23: Tsunami NOT expected; CA,OR,WA,BC,and AK

 #NTWC",0,1
1.41796E+18,"Tsunami Info Stmt: M7.0 South Of Panama                  1415PDT Jul 21: Tsunami NOT expected; CA,OR,WA,BC,and AK

 #NTWC",0,1
1.41708E+18,"Tsunami Info Stmt: M4.5 040mi N  Homer, Alaska 0252AKDT Jul 19: Tsunami NOT expected

 #NTWC",0,1
1.41665E+18,"Tsunami Info Stmt: M5.1 035mi SW Eureka, California 2346PDT Jul 17: Tsunami NOT expected

 #NTWC",0,1
1.41405E+18,"Tsunami Info Stmt: M5.1 065mi SE Buldir I., Alaska 1812AKDT Jul 10: Tsunami NOT expected

 #NTWC",0,1
1.41324E+18,"Tsunami Info Stmt: M4.6 025mi W  Haines, Alaska 1240AKDT Jul 8: Tsunami NOT expected

 #NTWC",0,1
1.41043E+18,"Tsunami Info Stmt: M4.6 065mi N  Homer, Alaska 1827AKDT Jun 30: Tsunami NOT expected

 #NTWC",0,1
1.4098E+18,"Tsunami Info Stmt: M4.2 125mi SW Kodiak City, Alaska 0046AKDT Jun 29: Tsunami NOT expected

 #NTWC",0,1
1.40969E+18,"Tsunami Info Stmt: M4.0 020mi SE San Francisco, California 1830PDT Jun 28: Tsunami NOT expected

 #NTWC",0,1
1.40932E+18,"Tsunami Info Stmt: M4.3 070mi NW Kodiak City, Alaska 1717AKDT Jun 27: Tsunami NOT expected

 #NTWC",0,1
1.40856E+18,"Tsunami Info Stmt: M4.1 025mi SE Anchorage, Alaska 1502AKDT Jun 25: Tsunami NOT expected

 #NTWC",0,1
1.40666E+18,"Tsunami Info Stmt: M6.7 Kermadec Islands, New Zealand    1006PDT Jun 20: Tsunami NOT expected; CA,OR,WA,BC,and AK

 #NTWC",0,1
1.40073E+18,"Tsunami Info Stmt: M5.9 145mi NW Eureka, California 0117PDT Jun 4: Tsunami NOT expected

 #NTWC",0,1
1.40072E+18,"Tsunami Info Stmt: M5.8 145mi NW Eureka, California 0053PDT Jun 4: Tsunami NOT expected

 #NTWC",0,1
1.39926E+18,"Tsunami Info Stmt: M5.8 060mi E  Talkeetna, Alaska 2300AKDT May 30: Tsunami NOT expected

 #NTWC",0,1
1.39439E+18,"Tsunami Info Stmt: M5.0 045mi S  Amchitka, Alaska 1225AKDT May 17: Tsunami NOT expected

 #NTWC",0,1
1.3926E+18,"Tsunami Info Stmt: M5.1 065mi S  Buldir I., Alaska 1401AKDT May 12: Tsunami NOT expected

 #NTWC",0,1
1.38852E+18,"Tsunami Info Stmt: M4.7 110mi SW Haines, Alaska 0723AKDT May 1: Tsunami NOT expected

 #NTWC",0,1
1.38831E+18,"Tsunami Info Stmt: M6.6 Near East Coast Of Honshu, Japan 1828PDT Apr 30: Tsunami NOT expected; CA,OR,WA,BC,and AK

 #NTWC",0,1
1.38772E+18,"Tsunami Info Stmt: M5.4 Off Coast Of Oregon              0359PDT Apr 29: Tsunami NOT expected

 #NTWC",0,1
1.38772E+18,"Tsunami Info Stmt: M5.2 Off Coast Of Oregon              0336PDT Apr 29: Tsunami NOT expected

 #NTWC",0,1
1.38752E+18,"Tsunami Info Stmt: M4.6 195mi W  Eugene, Oregon 1437PDT Apr 28: Tsunami NOT expected

 #NTWC",0,1
1.3871E+18,"Tsunami Info Stmt: M4.7 010mi N  Anchorage, Alaska 0955AKDT Apr 27: Tsunami NOT expected

 #NTWC",0,1
1.3871E+18,"Tsunami Info Stmt: M4.2 060mi NE Seward, Alaska 0926AKDT Apr 27: Tsunami NOT expected

 #NTWC",0,1
1.38589E+18,"Tsunami Info Stmt: M5.3 030mi NW Amchitka, Alaska 0131AKDT Apr 24: Tsunami NOT expected

 #NTWC",0,1
1.38262E+18,"Tsunami Info Stmt: M5.4 075mi NW Attu I., Alaska 0034AKDT Apr 15: Tsunami NOT expected

 #NTWC",0,1
1.38021E+18,"Tsunami Info Stmt: M5.7 040mi SE Denali Park Hdqts., Alaska 0910AKDT Apr 8: Tsunami NOT expected

 #NTWC",0,1
1.37904E+18,"Tsunami Info Stmt: M4.3 010mi SW Los Angeles, California 0444PDT Apr 5: Tsunami NOT expected

 #NTWC",0,1
1.37816E+18,Information Statement Tsunami Info Stmt: M6.5 Southwestern Atlantic Ocean 2117EDT Apr 2: Tsunami NOT expected; U.S. Atlantic or Gulf Coast,0,1
1.37757E+18,"Tsunami Info Stmt: M6.6 Kermadec Islands Region 0257PDT Apr 1: Tsunami NOT expected; CA,OR,WA,BC,and AK",0,1
1.37669E+18,"Tsunami Info Stmt: M5.4 Beaufort Sea                     1606AKDT Mar 29: Tsunami NOT expected

 #NTWC",0,1
1.37405E+18,"Tsunami Info Stmt: M4.4 055mi E  Iliamna, Alaska 0942AKDT Mar 22: Tsunami NOT expected

 #NTWC",0,1
1.3732E+18,"Tsunami Info Stmt: M7.2 Near East Coast Of Honshu, Japan 0210PDT Mar 20: Tsunami NOT expected; CA,OR,WA,BC,and AK

 #NTWC",0,1
1.3719E+18,"Tsunami Info Stmt: M6.9 120mi SW Bering I., Komandorski 1138PDT Mar 16: Tsunami NOT expected; CA,OR,WA,BC,and AK

 #NTWC",0,1
